,n_features,n_samples,n_subjects,feature_std,A,B,C,overall_prob_outcome,sd_outcome,time_effect,mean,sd,icc,icc_pred,auc_value_base,auc,auc_individual,auc_individual_sd,total_n,auc_c,auc_c_individual,auc_c_individual_sd,sd_intercept,sd_residual
97,10,90,150,0.1,0.05,0.2,0.05,0.5,0.05,FALSE,0.504962963,0.07813953,0.013460019,0.903943051,0.537571949,0.983158849,0.98144014,0.040578889,150,0.99874561,0.998790537,0.006707683,0.214957531,0.070072324
98,10,90,150,0.1,0.05,0.2,0.05,0.6,0.05,FALSE,0.601333333,0.073656891,0.011645761,0.889138353,0.5,0.97323952,0.974015409,0.04652146,150,0.998665742,0.998623219,0.007834025,0.196498372,0.069384897
99,10,90,150,0.1,0.05,0.2,0.05,0.8,0.05,FALSE,0.798,0.070072935,0.019561207,0.90228362,0.5,0.915739023,0.91627669,0.132828137,147,0.995556177,0.995619828,0.022018835,0.194113108,0.06388031
100,10,90,150,0.1,0.05,0.2,0.05,0.1,0.1,FALSE,0.089333333,0.093201498,0.096662762,0.93406691,0.5,0.81802066,0.780133896,0.217577652,105,0.990084986,0.994888511,0.021683052,0.214995979,0.057120639
101,10,90,150,0.1,0.05,0.2,0.05,0.2,0.1,FALSE,0.212592593,0.118373171,0.073364026,0.927253569,0.510079771,0.918526946,0.905523219,0.139287427,147,0.99601413,0.995527438,0.023676636,0.227911382,0.06383702
102,10,90,150,0.1,0.05,0.2,0.05,0.3,0.1,FALSE,0.312888889,0.107503553,0.043104781,0.894527809,0.512681622,0.972806415,0.962080007,0.087463609,149,0.998383185,0.998584562,0.008790101,0.198092959,0.068020701
103,10,90,150,0.1,0.05,0.2,0.05,0.4,0.1,FALSE,0.415333333,0.103942261,0.033742333,0.876882444,0.545410681,0.979929498,0.979155434,0.046969331,150,0.999185044,0.999354701,0.004600073,0.18568772,0.069578088
104,10,90,150,0.1,0.05,0.2,0.05,0.5,0.1,FALSE,0.506592593,0.113546003,0.040905409,0.881747742,0.557597511,0.978241889,0.976828681,0.044211259,150,0.998523022,0.99822069,0.009451527,0.19075039,0.069855077
105,10,90,150,0.1,0.05,0.2,0.05,0.6,0.1,FALSE,0.606,0.114891902,0.044649974,0.89092991,0.529302909,0.97456215,0.970267247,0.051392312,150,0.998845075,0.999002525,0.006325622,0.198413859,0.069422951
106,10,90,150,0.1,0.05,0.2,0.05,0.7,0.1,FALSE,0.699259259,0.115503535,0.052889277,0.910287126,0.518360244,0.96313564,0.956427976,0.09578531,150,0.999003039,0.999054233,0.00705938,0.214635434,0.067381334
107,10,90,150,0.1,0.05,0.2,0.05,0.8,0.1,FALSE,0.785185185,0.11786109,0.072001535,0.905801468,0.510884031,0.936297279,0.927934038,0.129833741,148,0.997706422,0.998566139,0.009149907,0.198035494,0.063862894
108,10,90,150,0.1,0.05,0.2,0.05,0.9,0.1,FALSE,0.896888889,0.121041138,0.148799399,0.918905767,0.54538996,0.874724821,0.807966441,0.211624921,99,0.997596154,0.997474747,0.018651177,0.191987441,0.057033801
109,10,90,150,0.1,0.05,0.2,0.05,0.1,0.15,FALSE,0.073777778,0.114238464,0.181642551,0.927001656,0.549335838,0.890955669,0.824608926,0.202148367,69,0.991749175,0.988152749,0.063806748,0.200412098,0.056239336
110,10,90,150,0.1,0.05,0.2,0.05,0.2,0.15,FALSE,0.198296296,0.148708009,0.129300878,0.915997523,0.544861214,0.926644877,0.880267551,0.182883831,142,0.998759305,0.999377031,0.005275516,0.205701465,0.062292575
111,10,90,150,0.1,0.05,0.2,0.05,0.3,0.15,FALSE,0.269111111,0.153268962,0.109443218,0.901316532,0.561732669,0.962961739,0.937149107,0.118413881,148,0.998873217,0.998788968,0.010762238,0.19638974,0.064983385
112,10,90,150,0.1,0.05,0.2,0.05,0.4,0.15,FALSE,0.38037037,0.162354949,0.101775202,0.899332662,0.594609856,0.9733968,0.962911403,0.07242182,149,0.999078414,0.999156635,0.005375164,0.204054133,0.068269937
113,10,90,150,0.1,0.05,0.2,0.05,0.6,0.15,FALSE,0.605703704,0.158895312,0.095592213,0.90059415,0.587763348,0.971284271,0.968689346,0.061306886,149,0.998643579,0.998748766,0.00718715,0.207431689,0.068915437
114,10,90,150,0.1,0.05,0.2,0.05,0.5,0.15,FALSE,0.506518519,0.156284574,0.087513731,0.907635899,0.607950747,0.984158103,0.981100718,0.041088222,150,0.999025257,0.999107834,0.005458223,0.21707462,0.069247615
115,10,90,150,0.1,0.05,0.2,0.05,0.7,0.15,FALSE,0.685333333,0.151049687,0.095677748,0.918264843,0.55220985,0.969366318,0.958028753,0.094813253,147,0.998209161,0.997691934,0.015631729,0.221383719,0.066048985
